Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
21-0093,1,,,,B1L5M21,S1 (HI),,,B1L5M21,S1 (HI),,,,,,,,,
21-0100,2,,,,B1L1M14,S1.1 (ADA),,,B1L1M14,S1.1 (ADA),,,,,,,,,
21-0143,3,,,,B1L1M24,S2A,,,B1L1M24,S1A,,,,,,,,,
21-0144,4,,,,B1L2M28,S1.1 (ADA),,,B1L2M28,LOBBY,,,,,,,,,
21-0145,5,,,,B1L5M02,S1B,,,B1L5M02,S1B,,,,,,,,,
21-0146,6,,,,B1L1M13,S1,,,B1L1M13,S1,,,,,,,,,
21-0147,7,,,,B1L1M02,S1B,,,B1L1M02,S1B,,,,,,,,,
21-0148,8,,,,B1L1M12,S1,,,B1L1M12,MAIN ELEC,,,,,,,,,
21-0149,9,,,,B1L2M24,S2A,,,B1L2M24,S1A,,,,,,,,,
21-0150,10,,,,B1L2M02,S1B,,,B1L2M02,S1B,,,,,,,,,
21-0151,11,,,,B1L2M12,S1,,,B1L2M12,S1,,,,,,,,,
21-0152,12,,,,B1L3M12,S1,,,B1L3M12,S1,,,,,,,,,
21-0153,13,,,,B1L3M28,S1.1 (ADA),,,B1L3M28,LOBBY,,,,,,,,,
21-0154,14,,,,B1L5M12,S1,,,B1L5M12,S1,,,,,,,,,
21-0155,15,,,,B1L2M13,S1,,,B1L2M13,S1,,,,,,,,,
21-0156,16,,,,B1L4M12,S1,,,B1L4M12,S1,,,,,,,,,
21-0157,17,,,,B1L3M02,S1B,,,B1L3M02,S1B,,,,,,,,,
21-0158,18,,,,B1L1M18,S1,,,B1L1M18,LDRY&MPOE,,,,,,,,,
21-0159,19,,,,B1L5M06,S1,,,B1L5M06,S1,,,,,,,,,
21-0160,20,,,,B1L2M06,S1,,,B1L2M06,S1,,,,,,,,,
21-0161,21,,,,B1L3M24,S2A,,,B1L3M24,S1A,,,,,,,,,
21-0162,22,,,,B1L4M02,S1B,,,B1L4M02,S1B,,,,,,,,,
21-0163,23,,,,B1L3M06,S1,,,B1L3M06,S1,,,,,,,,,
21-0164,24,,,,B1L4M28,S1.1 (ADA),,,B1L4M28,LOBBY,,,,,,,,,
21-0165,25,,,,B1L4M06,S1,,,B1L4M06,S1,,,,,,,,,
21-0166,26,,,,B1L5M08,S1,,,B1L5M08,S1,,,,,,,,,
21-0167,27,,,,B1L3M13,S1,,,B1L3M13,S1,,,,,,,,,
21-0168,28,,,,B1L2M18,S1,,,B1L2M18,LDRY&COMM+KIT,,,,,,,,,
21-0169,29,,,,B1L1M11,S1,,,B1L1M11,S1,,,,,,,,,
21-0170,30,,,,B1L1M08,S1,,,B1L1M08,S1,,,,,,,,,
21-0171,31,,,,B1L5M09,S1,,,B1L5M09,S1,,,,,,,,,
21-0172,32,,,,B1L2M11,S1,,,B1L2M11,S1,,,,,,,,,
21-0173,33,,,,B1L4M24,S2A,,,B1L4M24,S1A,,,,,,,,,
21-0174,34,,,,B1L5M31,S1,,,B1L5M31,S1.1 (ADA),,,,,,,,,
21-0175,35,,,,B1L1M27,MAIN TRASH,,,B1L1M27,"ELEV,STOR",,,,,,,,,
21-0176,36,,,,B1L3M11,S1,,,B1L3M11,S1,,,,,,,,,
21-0177,37,,,,B1L5M10,S1,,,B1L5M10,S1 (HI),,,,,,,,,
21-0178,38,,,,B1L4M13,S1,,,B1L4M13,S1,,,,,,,,,
21-0179,39,,,,B1L2M26,"STOR,REST,JAN",,,B1L2M26,STAIR 1,,,,,,,,,
21-0180,40,,,,B1L4M11,S1,,,B1L4M11,S1,,,,,,,,,
21-0181,41,,,,B1L2M08,S1,,,B1L2M08,S1,,,,,,,,,
21-0182,42,,,,B1L5M28,S1.1 (ADA),,,B1L5M28,LOBBY,,,,,,,,,
21-0183,43,,,,B1L5M15,S1,,,B1L5M15,S1,,,,,,,,,
21-0184,44,,,,B1L1M19,S1 (HI),,,B1L1M19,S1 (HI),,,,,,,,,
21-0185,45,,,,B1L5M24,S2A,,,B1L5M24,S1A,,,,,,,,,
21-0186,46,,,,B1L3M08,S1,,,B1L3M08,S1,,,,,,,,,
21-0187,47,,,,B1L5M11,S1,,,B1L5M11,S1,,,,,,,,,
21-0188,48,,,,B1L5M16,S1,,,B1L5M16,S1,,,,,,,,,
21-0189,49,,,,B1L1M26,"EL. MECH,REST,JAN",,,B1L1M26,STAIR 1,,,,,,,,,
21-0190,50,,,,B1L5M13,S1,,,B1L5M13,S1,,,,,,,,,
21-0191,51,,,,B1L2M19,S1 (HI),,,B1L2M19,S1 (HI),,,,,,,,,
21-0192,52,,,,B1L4M08,S1,,,B1L4M08,S1,,,,,,,,,
21-0193,53,,,,B1L1M09,S1,,,B1L1M09,S1,,,,,,,,,
21-0194,54,,,,B1L3M19,S1 (HI),,,B1L3M19,S1 (HI),,,,,,,,,
21-0195,55,,,,B1L2M27,"BIKE,TRASH",,,B1L2M27,"ELEV,STOR",,,,,,,,,
21-0196,56,,,,B1L1M25,S2 (HI),,,B1L1M25,S2.1 (ADA),,,,,,,,,
21-0197,57,,,,B1L2M09,S1,,,B1L2M09,S1,,,,,,,,,
21-0198,58,,,,B1L4M19,S1 (HI),,,B1L4M19,S1 (HI),,,,,,,,,
21-0199,59,,,,B1L3M09,S1,,,B1L3M09,S1,,,,,,,,,
21-0200,60,,,,B1L3M26,"STOR,REST,JAN",,,B1L3M26,STAIR 1,,,,,,,,,
21-0201,61,,,,B1L5M19,S1 (HI),,,B1L5M19,S1 (HI),,,,,,,,,
21-0202,62,,,,B1L4M09,S1,,,B1L4M09,S1,,,,,,,,,
21-0203,63,,,,B1L1M10,S1,,,B1L1M10,S1 (HI),,,,,,,,,
21-0204,64,,,,B1L1M28,LEASE,,,B1L1M28,MAIN LOBBY,,,,,,,,,
21-0205,65,,,,B1L2M10,S1,,,B1L2M10,S1 (HI),,,,,,,,,
21-0206,66,,,,B1L1M20,S1,,,B1L1M20,S1,,,,,,,,,
21-0207,67,,,,B1L2M25,S2 (HI),,,B1L2M25,S2.1 (ADA),,,,,,,,,
21-0208,68,,,,B1L3M10,S1,,,B1L3M10,S1 (HI),,,,,,,,,
21-0209,69,,,,B1L3M18,S1,,,B1L3M18,LDRY&COMM,,,,,,,,,
21-0210,70,,,,B1L2M20,S1,,,B1L2M20,S1,,,,,,,,,
21-0211,71,,,,B1L4M10,S1,,,B1L4M10,S1 (HI),,,,,,,,,
21-0212,72,,,,B1L2M14,S1.1 (ADA),,,B1L2M14,S1.1 (ADA),,,,,,,,,
21-0213,73,,,,B1L3M20,S1,,,B1L3M20,S1,,,,,,,,,
21-0214,74,,,,B1L1M15,S1,,,B1L1M15,S1,,,,,,,,,
21-0215,75,,,,B1L3M27,"BIKE,TRASH",,,B1L3M27,"ELEV,STOR",,,,,,,,,
21-0216,76,,,,B1L2M15,S1,,,B1L2M15,S1,,,,,,,,,
21-0217,77,,,,B1L4M20,S1,,,B1L4M20,S1,,,,,,,,,
21-0218,78,,,,B1L3M25,S2 (HI),,,B1L3M25,S2.1 (ADA),,,,,,,,,
21-0219,79,,,,B1L3M15,S1,,,B1L3M15,S1,,,,,,,,,
21-0220,80,,,,B1L4M26,"STOR,REST,JAN",,,B1L4M26,STAIR 1,,,,,,,,,
21-0221,81,,,,B1L5M20,S1,,,B1L5M20,S1,,,,,,,,,
21-0222,82,,,,B1L4M15,S1,,,B1L4M15,S1,,,,,,,,,
21-0223,83,,,,B1L3M14,S1.1 (ADA),,,B1L3M14,S1.1 (ADA),,,,,,,,,
21-0224,84,,,,B1L1M21,S1 (HI),,,B1L1M21,S1 (HI),,,,,,,,,
21-0225,85,,,,B1L1M16,S1,,,B1L1M16,S1,,,,,,,,,
21-0226,86,,,,B1L2M16,S1,,,B1L2M16,S1,,,,,,,,,
21-0227,87,,,,B1L2M21,S1 (HI),,,B1L2M21,S1 (HI),,,,,,,,,
21-0228,88,,,,B1L4M18,S1,,,B1L4M18,LDRY&COMM,,,,,,,,,
21-0229,89,,,,B1L4M25,S2 (HI),,,B1L4M25,S2.1 (ADA),,,,,,,,,
21-0230,90,,,,B1L3M16,S1,,,B1L3M16,S1,,,,,,,,,
21-0231,91,,,,B1L3M21,S1 (HI),,,B1L3M21,S1 (HI),,,,,,,,,
21-0232,92,,,,B1L4M16,S1,,,B1L4M16,S1,,,,,,,,,
21-0233,93,,,,B1L1M17,S1,,,B1L1M17,FITNESS,,,,,,,,,
21-0234,94,,,,B1L4M14,S1.1 (ADA),,,B1L4M14,S1.1 (ADA),,,,,,,,,
21-0235,95,,,,B1L4M21,S1 (HI),,,B1L4M21,S1 (HI),,,,,,,,,
21-0236,96,,,,B1L4M27,"BIKE,TRASH",,,B1L4M27,"ELEV,STOR",,,,,,,,,
21-0237,97,,,,B1L2M17,S1,,,B1L2M17,S1,,,,,,,,,
21-0238,98,,,,B1L1M22,S1,,,B1L1M22,S1,,,,,,,,,
21-0239,99,,,,B1L3M17,S1,,,B1L3M17,S1,,,,,,,,,
21-0240,100,,,,B1L5M25,S2 (HI),,,B1L5M25,S2.1 (ADA),,,,,,,,,
21-0241,101,,,,B1L2M22,S1,,,B1L2M22,S1,,,,,,,,,
21-0242,102,,,,B1L5M03,STAIR 2,,,B1L5M03,STAIR 2,,,,,,,,,
21-0243,103,,,,B1L4M17,S1,,,B1L4M17,S1,,,,,,,,,
21-0244,104,,,,B1L5M14,S1.1 (ADA),,,B1L5M14,S1.1 (ADA),,,,,,,,,
21-0245,105,,,,B1L5M07,S1.1 (ADA),,,B1L5M07,S1,,,,,,,,,
21-0246,106,,,,B1L3M22,S1,,,B1L3M22,S1,,,,,,,,,
21-0247,107,,,,B1L5M18,S1,,,B1L5M18,LDRY&COMM,,,,,,,,,
21-0248,108,,,,B1L1M07,S1.1 (ADA),,,B1L1M07,BOIL,,,,,,,,,
21-0249,109,,,,B1L4M22,S1,,,B1L4M22,S1,,,,,,,,,
21-0250,110,,,,B1L4M32,S2,,,B1L4M32,S2,,,,,,,,,
21-0251,111,,,,B1L5M17,S1,,,B1L5M17,S1,,,,,,,,,
21-0252,112,,,,B1L2M07,S1.1 (ADA),,,B1L2M07,S1,,,,,,,,,
21-0253,113,,,,B1L3M07,S1.1 (ADA),,,B1L3M07,S1,,,,,,,,,
21-0254,114,,,,B1L1M23,S1,,,B1L1M23,S1,,,,,,,,,
21-0255,115,,,,B1L5M26,"STOR,REST,JAN",,,B1L5M26,STAIR 1,,,,,,,,,
21-0256,116,,,,B1L2M29,S1,,,B1L2M29,S1,,,,,,,,,
21-0257,117,,,,B1L2M23,S1,,,B1L2M23,S1,,,,,,,,,
21-0258,118,,,,B1L3M29,S1,,,B1L3M29,S1,,,,,,,,,
21-0259,119,,,,B1L4M07,S1.1 (ADA),,,B1L4M07,S1,,,,,,,,,
21-0260,120,,,,B1L3M23,S1,,,B1L3M23,S1,,,,,,,,,
21-0261,121,,,,B1L2M03,STAIR 2,,,B1L2M03,STAIR 2,,,,,,,,,
21-0262,122,,,,B1L5M27,"BIKE,TRASH",,,B1L5M27,"ELEV,STOR",,,,,,,,,
21-0263,123,,,,B1L5M22,S1,,,B1L5M22,S1,,,,,,,,,
21-0264,124,,,,B1L4M29,S1,,,B1L4M29,S1,,,,,,,,,
21-0265,125,,,,B1L5M29,S1,,,B1L5M29,S1,,,,,,,,,
21-0266,126,,,,B1L1M29,LEASE,,,B1L1M29,MAIL ROOM,,,,,,,,,
21-0267,127,,,,B1L4M23,S1,,,B1L4M23,S1,,,,,,,,,
21-0268,128,,,,B1L3M30,S1.1 (ADA),,,B1L3M30,S1,,,,,,,,,
21-0269,129,,,,B1L4M30,S1.1 (ADA),,,B1L4M30,S1,,,,,,,,,
21-0270,130,,,,B1L1M06,S1,,,B1L1M06,BOIL,,,,,,,,,
21-0271,131,,,,B1L5M23,S1,,,B1L5M23,S1,,,,,,,,,
21-0272,132,,,,B1L4M03,STAIR 2,,,B1L4M03,STAIR 2,,,,,,,,,
21-0273,133,,,,B1L5M30,S1.1 (ADA),,,B1L5M30,S1,,,,,,,,,
21-0274,134,,,,B1L3M31,S1,,,B1L3M31,S1.1 (ADA),,,,,,,,,
21-0275,135,,,,B1L4M31,S1,,,B1L4M31,S1.1 (ADA),,,,,,,,,
21-0276,136,,,,B1L5M32,S2,,,B1L5M32,S2,,,,,,,,,
